Total accesses: 7086622
Frames	Miss Rate
1	0.865900
2	0.642194
3	0.596326
4	0.573121
5	0.555333
6	0.544083
7	0.532086
8	0.511976
9	0.478080
10	0.444778
11	0.414779
12	0.395322
13	0.381613
14	0.368575
15	0.354294
16	0.340002
17	0.327094
18	0.315314
19	0.304170
20	0.292969
21	0.281970
22	0.271512
23	0.262013
24	0.253696
25	0.246659
26	0.240796
27	0.235851
28	0.231686
29	0.228184
30	0.225160
31	0.222499
32	0.220199
33	0.218094
34	0.216211
35	0.214456
36	0.212791
37	0.211234
38	0.209733
39	0.208303
40	0.206939
41	0.205625
42	0.204354
43	0.203133
44	0.201921
45	0.200738
46	0.199576
47	0.198435
48	0.197322
49	0.196212
50	0.195141
51	0.194079
52	0.193052
53	0.192068
54	0.191070
55	0.190109
56	0.189147
57	0.188206
58	0.187264
59	0.186358
60	0.185468
61	0.184584
62	0.183717
63	0.182856
64	0.182022
65	0.181185
66	0.180386
67	0.179558
68	0.178754
69	0.177942
70	0.177161
71	0.176402
72	0.175625
73	0.174870
74	0.174148
75	0.173428
76	0.172719
77	0.172010
78	0.171333
79	0.170651
80	0.169981
81	0.169326
82	0.168684
83	0.168049
84	0.167429
85	0.166813
86	0.166204
87	0.165602
88	0.165025
89	0.164445
90	0.163859
91	0.163281
92	0.162733
93	0.162181
94	0.161630
95	0.161100
96	0.160576
97	0.160046
98	0.159519
99	0.159015
100	0.158512
101	0.158011
102	0.157507
103	0.157018
104	0.156526
105	0.156029
106	0.155554
107	0.155090
108	0.154629
109	0.154147
110	0.153672
111	0.153216
112	0.152749
113	0.152283
114	0.151825
115	0.151364
116	0.150924
117	0.150483
118	0.150051
119	0.149630
120	0.149203
121	0.148772
122	0.148353
123	0.147923
124	0.147491
125	0.147062
126	0.146640
127	0.146242
128	0.145835
129	0.145439
130	0.145037
131	0.144641
132	0.144253
133	0.143860
134	0.143476
135	0.143089
136	0.142714
137	0.142344
138	0.141978
139	0.141612
140	0.141245
141	0.140889
142	0.140533
143	0.140182
144	0.139826
145	0.139483
146	0.139135
147	0.138791
148	0.138448
149	0.138109
150	0.137775
151	0.137438
152	0.137089
153	0.136749
154	0.136419
155	0.136083
156	0.135754
157	0.135423
158	0.135088
159	0.134767
160	0.134452
161	0.134137
162	0.133835
163	0.133527
164	0.133208
165	0.132907
166	0.132601
167	0.132296
168	0.131997
169	0.131699
170	0.131405
171	0.131105
172	0.130821
173	0.130532
174	0.130240
175	0.129955
176	0.129666
177	0.129376
178	0.129087
179	0.128826
180	0.128546
181	0.128264
182	0.127988
183	0.127709
184	0.127437
185	0.127163
186	0.126900
187	0.126636
188	0.126384
189	0.126114
190	0.125853
191	0.125593
192	0.125335
193	0.125083
194	0.124833
195	0.124583
196	0.124334
197	0.124091
198	0.123844
199	0.123597
200	0.123345
201	0.123087
202	0.122838
203	0.122597
204	0.122338
205	0.122094
206	0.121846
207	0.121602
208	0.121363
209	0.121124
210	0.120889
211	0.120652
212	0.120423
213	0.120184
214	0.119951
215	0.119720
216	0.119486
217	0.119245
218	0.119010
219	0.118777
220	0.118550
221	0.118325
222	0.118091
223	0.117863
224	0.117640
225	0.117432
226	0.117206
227	0.116987
228	0.116774
229	0.116554
230	0.116324
231	0.116103
232	0.115883
233	0.115665
234	0.115438
235	0.115224
236	0.115004
237	0.114782
238	0.114553
239	0.114335
240	0.114110
241	0.113894
242	0.113684
243	0.113485
244	0.113280
245	0.113066
246	0.112864
247	0.112652
248	0.112442
249	0.112237
250	0.112030
251	0.111833
252	0.111631
253	0.111432
254	0.111236
255	0.111035
256	0.110835
257	0.110636
258	0.110440
259	0.110246
260	0.110046
261	0.109861
262	0.109668
263	0.109472
264	0.109294
265	0.109101
266	0.108912
267	0.108721
268	0.108534
269	0.108341
270	0.108152
271	0.107976
272	0.107786
273	0.107605
274	0.107428
275	0.107236
276	0.107044
277	0.106860
278	0.106683
279	0.106496
280	0.106308
281	0.106138
282	0.105956
283	0.105783
284	0.105606
285	0.105423
286	0.105243
287	0.105070
288	0.104894
289	0.104721
290	0.104552
291	0.104382
292	0.104208
293	0.104034
294	0.103862
295	0.103691
296	0.103509
297	0.103340
298	0.103179
299	0.103009
300	0.102841
301	0.102672
302	0.102504
303	0.102340
304	0.102169
305	0.102005
306	0.101846
307	0.101689
308	0.101528
309	0.101369
310	0.101203
311	0.101036
312	0.100882
313	0.100720
314	0.100562
315	0.100407
316	0.100253
317	0.100095
318	0.099937
319	0.099777
320	0.099617
321	0.099458
322	0.099299
323	0.099139
324	0.098979
325	0.098832
326	0.098681
327	0.098528
328	0.098374
329	0.098224
330	0.098072
331	0.097916
332	0.097765
333	0.097609
334	0.097461
335	0.097304
336	0.097157
337	0.096999
338	0.096855
339	0.096704
340	0.096553
341	0.096405
342	0.096258
343	0.096106
344	0.095952
345	0.095804
346	0.095654
347	0.095513
348	0.095367
349	0.095224
350	0.095081
351	0.094939
352	0.094797
353	0.094655
354	0.094505
355	0.094360
356	0.094217
357	0.094075
358	0.093931
359	0.093787
360	0.093640
361	0.093499
362	0.093364
363	0.093218
364	0.093078
365	0.092942
366	0.092805
367	0.092662
368	0.092521
369	0.092382
370	0.092244
371	0.092109
372	0.091975
373	0.091841
374	0.091700
375	0.091563
376	0.091422
377	0.091282
378	0.091149
379	0.091018
380	0.090880
381	0.090741
382	0.090602
383	0.090467
384	0.090334
385	0.090202
386	0.090073
387	0.089949
388	0.089805
389	0.089673
390	0.089537
391	0.089405
392	0.089277
393	0.089145
394	0.089018
395	0.088885
396	0.088754
397	0.088622
398	0.088491
399	0.088357
400	0.088234
401	0.088105
402	0.087979
403	0.087850
404	0.087730
405	0.087602
406	0.087472
407	0.087343
408	0.087219
409	0.087093
410	0.086974
411	0.086850
412	0.086731
413	0.086607
414	0.086492
415	0.086369
416	0.086251
417	0.086128
418	0.086008
419	0.085886
420	0.085764
421	0.085641
422	0.085517
423	0.085396
424	0.085279
425	0.085161
426	0.085040
427	0.084919
428	0.084802
429	0.084686
430	0.084570
431	0.084453
432	0.084333
433	0.084219
434	0.084100
435	0.083988
436	0.083867
437	0.083750
438	0.083632
439	0.083526
440	0.083404
441	0.083287
442	0.083169
443	0.083050
444	0.082941
445	0.082830
446	0.082715
447	0.082611
448	0.082501
449	0.082385
450	0.082281
451	0.082171
452	0.082056
453	0.081939
454	0.081828
455	0.081710
456	0.081600
457	0.081485
458	0.081371
459	0.081258
460	0.081142
461	0.081027
462	0.080917
463	0.080801
464	0.080695
465	0.080584
466	0.080468
467	0.080360
468	0.080245
469	0.080134
470	0.080028
471	0.079923
472	0.079808
473	0.079697
474	0.079583
475	0.079471
476	0.079357
477	0.079255
478	0.079143
479	0.079040
480	0.078935
481	0.078831
482	0.078733
483	0.078631
484	0.078523
485	0.078412
486	0.078304
487	0.078204
488	0.078101
489	0.077993
490	0.077885
491	0.077779
492	0.077673
493	0.077559
494	0.077455
495	0.077351
496	0.077248
497	0.077144
498	0.077042
499	0.076940
500	0.076839
501	0.076733
502	0.076636
503	0.076534
504	0.076427
505	0.076330
506	0.076228
507	0.076117
508	0.076019
509	0.075916
510	0.075810
511	0.075708
512	0.075611
513	0.075512
514	0.075415
515	0.075312
516	0.075205
517	0.075101
518	0.075002
519	0.074902
520	0.074804
521	0.074712
522	0.074618
523	0.074520
524	0.074424
525	0.074326
526	0.074226
527	0.074127
528	0.074032
529	0.073932
530	0.073835
531	0.073735
532	0.073640
533	0.073537
534	0.073440
535	0.073342
536	0.073248
537	0.073157
538	0.073061
539	0.072970
540	0.072877
541	0.072782
542	0.072690
543	0.072600
544	0.072511
545	0.072418
546	0.072324
547	0.072236
548	0.072147
549	0.072057
550	0.071967
551	0.071874
552	0.071788
553	0.071701
554	0.071612
555	0.071521
556	0.071438
557	0.071351
558	0.071267
559	0.071175
560	0.071087
561	0.070997
562	0.070915
563	0.070831
564	0.070748
565	0.070661
566	0.070576
567	0.070495
568	0.070406
569	0.070320
570	0.070229
571	0.070136
572	0.070055
573	0.069965
574	0.069880
575	0.069795
576	0.069711
577	0.069623
578	0.069538
579	0.069449
580	0.069366
581	0.069277
582	0.069189
583	0.069110
584	0.069025
585	0.068943
586	0.068860
587	0.068776
588	0.068699
589	0.068612
590	0.068525
591	0.068444
592	0.068362
593	0.068275
594	0.068194
595	0.068112
596	0.068035
597	0.067947
598	0.067870
599	0.067786
600	0.067706
601	0.067623
602	0.067540
603	0.067463
604	0.067381
605	0.067298
606	0.067218
607	0.067142
608	0.067057
609	0.066980
610	0.066902
611	0.066820
612	0.066736
613	0.066658
614	0.066582
615	0.066508
616	0.066425
617	0.066347
618	0.066270
619	0.066194
620	0.066114
621	0.066036
622	0.065964
623	0.065886
624	0.065807
625	0.065732
626	0.065651
627	0.065572
628	0.065494
629	0.065410
630	0.065332
631	0.065255
632	0.065182
633	0.065106
634	0.065035
635	0.064960
636	0.064883
637	0.064811
638	0.064737
639	0.064660
640	0.064588
641	0.064517
642	0.064447
643	0.064369
644	0.064294
645	0.064224
646	0.064151
647	0.064083
648	0.064009
649	0.063941
650	0.063873
651	0.063805
652	0.063739
653	0.063668
654	0.063595
655	0.063525
656	0.063456
657	0.063389
658	0.063320
659	0.063251
660	0.063183
661	0.063107
662	0.063037
663	0.062968
664	0.062901
665	0.062834
666	0.062767
667	0.062696
668	0.062628
669	0.062556
670	0.062491
671	0.062426
672	0.062357
673	0.062289
674	0.062221
675	0.062158
676	0.062080
677	0.062013
678	0.061945
679	0.061873
680	0.061803
681	0.061737
682	0.061674
683	0.061606
684	0.061546
685	0.061480
686	0.061413
687	0.061345
688	0.061280
689	0.061213
690	0.061145
691	0.061076
692	0.061009
693	0.060942
694	0.060873
695	0.060809
696	0.060740
697	0.060675
698	0.060602
699	0.060533
700	0.060472
701	0.060405
702	0.060341
703	0.060276
