Total accesses: 7086622
Frames	Miss Rate
1	0.829194
2	0.599049
3	0.553486
4	0.530573
5	0.511965
6	0.498351
7	0.481954
8	0.455251
9	0.421646
10	0.389781
11	0.364638
12	0.348542
13	0.335085
14	0.320879
15	0.306325
16	0.292915
17	0.280685
18	0.269118
19	0.257559
20	0.246225
21	0.235394
22	0.225536
23	0.216798
24	0.209433
25	0.203182
26	0.197890
27	0.193327
28	0.189442
29	0.186056
30	0.182990
31	0.180280
32	0.177808
33	0.175516
34	0.173365
35	0.171336
36	0.169395
37	0.167531
38	0.165721
39	0.164004
40	0.162319
41	0.160695
42	0.159110
43	0.157570
44	0.156065
45	0.154584
46	0.153156
47	0.151749
48	0.150379
49	0.149038
50	0.147724
51	0.146433
52	0.145180
53	0.143929
54	0.142693
55	0.141484
56	0.140302
57	0.139147
58	0.138011
59	0.136887
60	0.135786
61	0.134685
62	0.133586
63	0.132542
64	0.131513
65	0.130466
66	0.129421
67	0.128393
68	0.127396
69	0.126431
70	0.125477
71	0.124543
72	0.123627
73	0.122709
74	0.121811
75	0.120936
76	0.120097
77	0.119247
78	0.118420
79	0.117627
80	0.116851
81	0.116065
82	0.115286
83	0.114530
84	0.113791
85	0.113064
86	0.112355
87	0.111657
88	0.110973
89	0.110296
90	0.109627
91	0.108965
92	0.108311
93	0.107658
94	0.107027
95	0.106405
96	0.105783
97	0.105167
98	0.104552
99	0.103954
100	0.103373
101	0.102788
102	0.102202
103	0.101626
104	0.101044
105	0.100501
106	0.099938
107	0.099390
108	0.098865
109	0.098339
110	0.097821
111	0.097323
112	0.096815
113	0.096303
114	0.095809
115	0.095317
116	0.094844
117	0.094375
118	0.093911
119	0.093438
120	0.092986
121	0.092525
122	0.092074
123	0.091625
124	0.091178
125	0.090743
126	0.090305
127	0.089870
128	0.089453
129	0.089033
130	0.088610
131	0.088201
132	0.087789
133	0.087376
134	0.086974
135	0.086571
136	0.086192
137	0.085802
138	0.085420
139	0.085037
140	0.084649
141	0.084277
142	0.083911
143	0.083552
144	0.083187
145	0.082835
146	0.082485
147	0.082133
148	0.081776
149	0.081432
150	0.081089
151	0.080746
152	0.080415
153	0.080087
154	0.079753
155	0.079431
156	0.079122
157	0.078808
158	0.078490
159	0.078183
160	0.077861
161	0.077564
162	0.077262
163	0.076959
164	0.076664
165	0.076373
166	0.076081
167	0.075794
168	0.075501
169	0.075201
170	0.074916
171	0.074637
172	0.074350
173	0.074059
174	0.073785
175	0.073512
176	0.073230
177	0.072958
178	0.072695
179	0.072431
180	0.072159
181	0.071894
182	0.071629
183	0.071364
184	0.071095
185	0.070843
186	0.070592
187	0.070350
188	0.070098
189	0.069841
190	0.069591
191	0.069341
192	0.069105
193	0.068856
194	0.068620
195	0.068382
196	0.068151
197	0.067920
198	0.067700
199	0.067477
200	0.067243
201	0.067008
202	0.066785
203	0.066560
204	0.066327
205	0.066101
206	0.065882
207	0.065667
208	0.065446
209	0.065224
210	0.065016
211	0.064815
212	0.064605
213	0.064403
214	0.064190
215	0.063984
216	0.063779
217	0.063584
218	0.063372
219	0.063166
220	0.062957
221	0.062752
222	0.062553
223	0.062346
224	0.062143
225	0.061946
226	0.061753
227	0.061557
228	0.061363
229	0.061168
230	0.060967
231	0.060771
232	0.060580
233	0.060387
234	0.060198
235	0.059997
236	0.059814
237	0.059621
238	0.059434
239	0.059249
240	0.059058
241	0.058878
242	0.058694
243	0.058516
244	0.058337
245	0.058150
246	0.057980
247	0.057802
248	0.057631
249	0.057447
250	0.057281
251	0.057102
252	0.056919
253	0.056741
254	0.056575
255	0.056410
256	0.056229
257	0.056056
258	0.055887
259	0.055718
260	0.055552
261	0.055375
262	0.055212
263	0.055051
264	0.054888
265	0.054728
266	0.054569
267	0.054405
268	0.054257
269	0.054104
270	0.053957
271	0.053802
272	0.053641
273	0.053483
274	0.053325
275	0.053165
276	0.053014
277	0.052861
278	0.052711
279	0.052558
280	0.052411
281	0.052259
282	0.052117
283	0.051976
284	0.051824
285	0.051688
286	0.051544
287	0.051398
288	0.051265
289	0.051123
290	0.050982
291	0.050836
292	0.050692
293	0.050545
294	0.050415
295	0.050278
296	0.050134
297	0.049990
298	0.049845
299	0.049706
300	0.049560
301	0.049425
302	0.049283
303	0.049148
304	0.049010
305	0.048869
306	0.048735
307	0.048603
308	0.048475
309	0.048333
310	0.048193
311	0.048055
312	0.047923
313	0.047796
314	0.047661
315	0.047524
316	0.047395
317	0.047261
318	0.047135
319	0.047002
320	0.046872
321	0.046748
322	0.046620
